Geography,Date,Type,Percent Change from Baseline,ID Geography
Minnesota,7/15/20,Workplaces,-38,04000US27
Minnesota,7/16/20,Workplaces,-38,04000US27
Minnesota,7/17/20,Workplaces,-39,04000US27
Minnesota,7/18/20,Workplaces,-9,04000US27
Minnesota,7/19/20,Workplaces,-9,04000US27
Minnesota,7/20/20,Workplaces,-39,04000US27
Minnesota,7/21/20,Workplaces,-39,04000US27
Minnesota,7/22/20,Workplaces,-37,04000US27
Minnesota,7/23/20,Workplaces,-38,04000US27
Minnesota,7/24/20,Workplaces,-38,04000US27
Minnesota,7/25/20,Workplaces,-9,04000US27
Minnesota,7/26/20,Workplaces,-10,04000US27
Minnesota,7/27/20,Workplaces,-38,04000US27
Minnesota,7/28/20,Workplaces,-38,04000US27
Minnesota,7/29/20,Workplaces,-38,04000US27
Minnesota,7/30/20,Workplaces,-38,04000US27
Minnesota,7/31/20,Workplaces,-38,04000US27
Minnesota,8/1/20,Workplaces,-8,04000US27
Minnesota,8/2/20,Workplaces,-9,04000US27
Minnesota,8/3/20,Workplaces,-39,04000US27
Minnesota,8/4/20,Workplaces,-39,04000US27
Minnesota,8/5/20,Workplaces,-38,04000US27
Minnesota,8/6/20,Workplaces,-38,04000US27
Minnesota,8/7/20,Workplaces,-39,04000US27
Minnesota,2/15/20,Residential,-1,04000US27
Minnesota,2/16/20,Residential,-1,04000US27
Minnesota,2/17/20,Residential,5,04000US27
Minnesota,2/18/20,Residential,1,04000US27
Minnesota,2/19/20,Residential,0,04000US27
Minnesota,2/20/20,Residential,1,04000US27
Minnesota,2/21/20,Residential,0,04000US27
Minnesota,2/22/20,Residential,-1,04000US27
Minnesota,2/23/20,Residential,-2,04000US27
Minnesota,2/24/20,Residential,-1,04000US27
Minnesota,2/25/20,Residential,0,04000US27
Minnesota,2/26/20,Residential,-1,04000US27
Minnesota,2/27/20,Residential,0,04000US27
Minnesota,2/28/20,Residential,-1,04000US27
Minnesota,2/29/20,Residential,-1,04000US27
Minnesota,3/1/20,Residential,-2,04000US27
Minnesota,3/2/20,Residential,0,04000US27
Minnesota,3/3/20,Residential,0,04000US27
Minnesota,3/4/20,Residential,-1,04000US27
Minnesota,3/5/20,Residential,0,04000US27
Minnesota,3/6/20,Residential,0,04000US27
Minnesota,3/7/20,Residential,-1,04000US27
Minnesota,3/8/20,Residential,-2,04000US27
Minnesota,3/9/20,Residential,1,04000US27
Minnesota,3/10/20,Residential,1,04000US27
